start	end	text
55940	56660	[*]
57640	58840	Elektromobilität,
59060	59760	[*]
59760	61200	ressourcenschonend,
61340	61660	[*]
61660	61960	mit
61960	62180	einem
62180	63340	flächendeckenden
63340	63720	[*]
63720	66140	Strom-Tankstellennetzwerk,
66240	67480	komfortabel.
68780	69300	Der
69300	69680	Service,
69880	70260	den
70260	70360	der
70360	70900	Kunde
70900	71600	liefert,
71840	72400	[*]
72400	72680	ist
72680	73060	dafür
73060	73260	zu
73260	74140	bezahlen
74140	74560	im
74560	75820	Anschaffungspreis.
75820	76580	[*]
76580	76820	Aber
76820	77260	auch
77260	77900	[*]
77900	78560	die
78560	79000	Gebühren
79000	79140	für
79140	79240	die
79240	79380	Leistung.
79380	79400	Die
79400	80200	Strom-Tankstellen
80200	80520	[*]
80520	80720	natürlich
80720	81040	zu
81040	81640	entrichten,
81860	83200	beziehungsweise
83200	83700	Daten
83700	84440	zu
84440	85020	liefern.
86800	86910	[*]
86910	87850	Fundamentale
87850	88290	Prämisse
88290	88550	Nummer
88550	89010	zwei.
89510	90010	Der
90010	90430	Kunde
90430	90610	ist
90610	91010	immer
91010	92430	Mitgestalter
92430	92690	des
92690	93470	Wertes.
93510	93990	Das
93990	94230	heißt,
94310	94430	es
94430	94610	kommt
94610	94850	sehr
94850	95270	stark
95270	95590	darauf
95590	95990	an,
96090	96550	[*]
96550	96850	wie
96850	97330	er
97330	97630	das
97630	98090	Auto
98090	98850	nutzt.
100220	100820	Ob
100820	101000	[*]
101000	101140	er
101140	101980	[*]
102160	103020	entsprechend
103020	103660	[*]
103660	103820	plant.
105010	105390	[*]
105390	105590	Ob
105590	105890	er
105890	106130	sich
106130	106790	traut,
106790	107050	den
107050	107710	Autopilot
107710	107890	zu
107890	108350	nutzen.
108350	108830	Ob
108830	109050	er
109050	109290	dieses
109290	110470	flächendeckende
110470	110710	Strom
110710	111530	nähert.
111530	111770	Ob
111770	111790	er
111790	111810	das
111810	111830	Netzwerk
111830	112030	tatsächlich
112030	112330	[*]
112330	112530	in
112530	113030	Anspruch
113030	113390	nimmt.
113790	114230	Ob
114230	114310	er
114310	114570	sich
114570	114910	[*]
114910	115130	in
115130	115530	die
115530	115550	[*]
115550	116170	Software
116170	117530	einarbeitet
117530	118190	und
118190	118430	alle
118430	119150	Finessen
119150	119290	zu
119290	119670	nutzen
119670	120170	weiß.
120550	120970	Ob
120970	121070	er
121070	121210	sich
121210	121370	in
121370	121510	die
121510	121790	Tesla
121790	122190	Community
122190	123290	einbringt
123290	123550	und
123550	123890	dort
123890	124230	neue
124230	124550	Menschen
124550	125490	kennenlernt.
127660	128100	All
128100	128400	diese
128400	129100	Faktoren
129100	129860	[*]
129860	130900	beeinflussen
130900	131680	[*]
131680	132080	den
132080	132840	Wert,
133040	133340	den
133340	133460	der
133460	133800	Kunde
133800	134580	verspürt.
134760	135100	Das
135100	135340	heißt,
135420	135540	es
135540	135820	gibt
135820	136160	keinen
136160	137180	objektiven
137180	137580	[*]
137580	137960	Wert
137960	138380	eines
138380	138980	Autos
138980	139320	Tesla.
140040	140220	[*]
140400	141450	Fundamentale
141450	141950	Prämisse
141950	142210	Nummer
142210	142450	[*]
142450	142570	drei.
142570	143330	[*]
143330	143790	Alle
143790	144650	Akteure
144650	144970	sind
144970	145910	Ressourcen,
145950	146170	[*]
146170	147270	Integratoren.
147270	148230	Wir
148230	148590	sprechen
148590	148870	von
148870	149510	sogenannten
149510	151610	Operanten-Ressourcen
151610	151790	mit
151790	152010	T.
152110	152850	Das
152850	153030	ist
153030	153630	Wissen,
153730	153990	die
153990	155030	Batterietechnologie
155030	155230	zum
155230	155730	Beispiel.
156110	157590	[*]
157590	157850	Software,
158410	159050	[*]
159050	159750	Autopilot,
160010	160720	[*]
161190	161670	aber
161670	162010	auch
162010	162690	eine
162690	163550	Philosophie.
163550	164370	Und
164370	164570	von
164570	165190	sogenannten
165190	167170	Operanden-Ressourcen,
167250	167710	in
167710	168030	unserem
168030	168190	[*]
168190	168310	Fall
168310	168470	im
168470	169150	wesentlichen
169150	169310	Zeit
169310	169770	und
169770	170250	Geld.
170490	170990	Die
170990	171530	Ressourcen,
171570	171670	die
171670	171930	Tesla
171930	172330	nutzt,
172470	172490	sind
172490	172510	natürlich
172510	172530	die
172530	172550	Ressourcen,
172550	172570	die
172570	172590	Tesla
172590	172610	nutzt.
172610	172630	Die
172630	172650	Ressourcen,
172650	172670	die
172670	172690	Tesla
172690	172710	nutzt,
172710	172730	sind
172730	172950	natürlich
172950	173090	die
173090	173430	Ressourcen,
173430	173470	die
173470	173490	Tesla
173490	173510	nutzt.
173510	173530	Die
173530	173550	Ressourcen,
173550	173570	die
173570	173590	Tesla
173590	173610	nutzt,
173610	173630	sind
173630	173650	natürlich
173650	174030	Zulieferer.
174490	175270	Es
175270	175570	sind
175570	175810	aber
175810	176050	[*]
176050	176330	auch
176330	176930	[*]
176930	178170	Energieversorger,
178330	178610	die
178610	178790	das
178790	179930	flächendeckende
179930	181290	[*]
181290	183850	Strom-Tankstellen-Netzwerk
183850	184010	zur
184010	184470	Verfügung
184470	184930	[*]
184930	185070	stellen.
185490	185870	Es
185870	186070	ist
186070	186550	Spotify,
186550	187150	[*]
187150	187750	die
187750	189990	Musikplattform,
190190	190350	die
190350	190590	übrigens
190590	190850	sehr
190850	190990	zu
190990	191530	empfehlen
191530	191710	ist
191710	191910	im
191910	192230	Tesla.
192490	192910	[*]
193680	194150	Es
194150	194390	sind
194390	194670	aber
194670	194890	[*]
194890	195150	auch
195150	196030	[*]
196030	196750	staatliche
196750	198030	Ressourcen,
198110	198610	[*]
198610	199750	Steuererleichterungen,
199810	200790	Subventionen.
200970	201490	[*]
201800	202000	Die
202000	202680	Ressourcen,
202740	202920	die
202920	203020	der
203020	203460	Kunde
203460	204280	einbringt,
204300	204560	sind
204560	204740	seine
204740	206140	Planungsfähigkeiten,
206340	207200	seine
207200	208160	Bereitschaft,
208300	208800	sich
208800	209020	auf
209020	209160	den
209160	209560	Gedanken
209560	210500	einzulassen,
210640	211240	je
211240	211960	langsamer
211960	212160	man
212160	212700	fährt,
212840	213380	desto
213380	214000	früher
214000	214260	kommt
214260	214660	man
214660	215040	an.
215040	215640	[*]
215640	216340	Seine
216340	216740	[*]
216740	217600	Bereitschaft,
217660	217920	auch
217920	219380	Softwarefehler
219380	219760	zu
219760	220620	verzeihen.
221000	221340	[*]
221340	221800	Seine
221800	222460	Compliance,
222680	222820	das
222820	223060	heißt
223060	223240	den
223240	224000	Autopiloten
224000	224340	tatsächlich
224340	224680	so
224680	224920	zu
224920	225120	[*]
225120	225280	nutzen,
225380	225500	wie
225500	225620	er
225620	225820	gedacht
225820	226300	ist
226300	226700	[*]
226700	226840	und
226840	227080	nicht
227080	227260	während
227260	227460	des
227460	228120	Fahrens
228120	228300	[*]
228300	228760	zu
228760	229340	schlafen
229340	229480	oder
229480	229860	Filme
229860	229980	zu
229980	230200	[*]
230200	230380	gucken.
230380	231250	[*]
232700	233060	Oder
233060	233560	auch
233560	234440	[*]
234440	234540	sich
234540	235020	[*]
235020	235220	tatsächlich
235220	236100	in
236100	236400	diese
236400	236700	Tesla
236700	236960	[*]
236960	237120	Community
237120	238080	[*]
238080	238940	einzubringen.
238940	239630	[*]
240250	241190	Fundamentale
241190	241770	Prämisse
241770	242150	[*]
242150	242370	Nummer
242370	242590	[*]
242590	242750	3.
246280	246820	Fundamentale
246820	247220	Prämisse
247220	247440	Nummer
247440	247760	4.
247980	248560	[*]
249100	249600	Der
249600	249960	Wert
249960	250240	der
250240	251060	Leistung
251060	251380	wird
251380	252340	ausschließlich
252340	253180	[*]
253180	253360	durch
253360	253560	den
253560	253720	[*]
253720	253900	Kunden
253900	254460	[*]
254460	254580	bestimmt.
254580	255960	Lassen
255960	256120	Sie
256120	256280	mich
256280	256440	das
256440	256580	an
256580	257240	folgendem
257240	257420	[*]
257420	257560	Beispiel
257560	257800	[*]
257800	258440	näher
258440	259080	erläutern.
259080	259900	[*]
259900	260200	Ein
260200	261260	Tesla-Fahrer
261260	261660	[*]
261660	262020	macht
262020	262260	mit
262260	262500	seiner
262500	262980	geliebten
262980	263640	Partnerin
263640	263840	eine
263840	264780	Spritztour.
264780	265740	Und
265740	266640	[*]
266640	266920	macht
266920	267340	ihr
267340	267580	[*]
267580	267960	während
267960	268240	dieser
268240	269020	Autofahrt
269020	269200	einen
269200	270320	Heiratsantrag.
270520	271100	[*]
271100	271460	Die
271460	272040	Partnerin
272040	272200	nimmt
272200	272380	diesen
272380	273380	Heiratsantrag
273380	273620	[*]
273620	273760	an
273760	274240	[*]
274240	274580	und
274580	275120	die
275120	275440	beiden
275440	276040	heiraten.
276040	277080	Für
277080	277360	diesen
277360	278320	Tesla-Fahrer
278320	278340	[*]
278340	278780	wird
278780	279020	das
279020	279340	Auto
279340	279700	[*]
279700	279800	Tesla
279800	280400	für
280400	280640	immer
280640	280780	mit
280780	280980	einer
280980	281660	positiven
281660	282080	[*]
282080	282320	Erfahrung
282320	283320	verbunden
283320	283740	sein.
283740	285000	Versus
285000	285380	[*]
285380	285660	ein
285660	286520	Tesla-Fahrer
286520	286660	bleibt
286660	286960	auf
286960	287180	der
287180	287660	Autobahn
287660	287840	[*]
287840	287980	liegen,
288160	288920	[*]
288920	289180	muss
289180	289420	vom
289420	290280	Abschleppdienst
290280	290440	zur
290440	290760	nächsten
290760	292180	Stromtankstelle
292180	292760	geschleppt
292760	292960	[*]
292960	293160	werden,
293520	294300	[*]
294300	295040	verpasst
295040	295300	[*]
295300	295520	einen
295520	296040	wichtigen
296040	297440	Vorstellungstermin
297440	297680	und
297680	298440	verliert
298440	298520	[*]
298520	299620	möglicherweise
299620	299900	seinen
299900	300520	Traumjob.
300520	301280	Für
301280	301560	diesen
301560	303220	Tesla-Fahrer
303220	303600	[*]
303600	303820	ist
303820	303960	das
303960	304440	Auto
304440	305390	[*]
305580	306020	mit
306020	306360	einer
306360	307040	negativen
307040	307500	Erfahrung
307500	308280	verbunden.
308760	309140	[*]
309270	309910	Lassen
309910	309990	Sie
309990	310130	mich
310130	310250	die
310250	310990	wichtigsten
310990	311330	Punkte
311330	311590	der
311590	311810	Service
311810	312290	Dominant
312290	312590	Logic
312590	313010	noch
313010	313350	einmal
313350	314330	zusammenfassen.
314330	314910	Ich
314910	315150	möchte
315150	315710	anfangen
315710	315870	mit
315870	316090	einem
316090	316730	falschen
316730	317210	Denken
317210	317450	über
317450	318030	Produkte.
319390	319410	Wir
319410	319770	kaufen
319770	320250	Produkte
320250	320670	nicht
320670	321010	wegen
321010	321350	ihrer
321350	322570	produktspezifischen
322570	323670	Eigenschaften.
323670	324610	Sondern
324610	324770	weil
324770	324930	sie
324930	325150	uns
325150	325490	einen
325490	326110	Nutzen
326110	326770	stiften,
326790	327090	eben
327090	327390	diesen
327390	327950	Service.
327950	328630	[*]
328630	328930	Wir
329010	329690	kaufen
329690	330350	Produkte,
330490	331010	[*]
331010	331190	weil
331190	331270	sie
331270	331470	uns
331470	331950	sogenannte
331950	332910	Intangibles
332910	333590	[*]
333590	334070	liefern.
334070	334690	Also
334690	335150	etwas
335150	335350	nicht
335350	336170	Greifbares,
336310	336530	wie
336530	336730	der
336730	337210	Zugang
337210	337330	zu
337330	337510	einer
337510	337690	[*]
337690	337970	Community,
337970	338350	[*]
338350	338830	die
338830	339350	Marke
339350	339470	an
339470	339830	sich,
339950	340170	den
340170	340450	[*]
340450	340670	Status,
340870	341050	den
341050	341210	wir
341210	341650	erreichen,
341890	342430	wenn
342430	342570	wir
342570	342670	ein
342670	343190	bestimmtes
343190	343550	Produkt
343550	344870	[*]
344870	344990	nutzen.
344990	345590	Wir
346320	346980	kaufen
346980	347560	Produkte,
347660	347800	weil
347800	347860	wir
347860	348080	damit
348080	348320	eine
348320	349160	ganzheitliche
349160	349600	Erfahrung
349600	349860	[*]
349860	350120	machen.
350240	351060	Ein
352550	353150	falsches
353150	353810	Denken
353810	354090	über
354090	354550	Services
354550	355290	wäre
355290	356070	folgendes.
356070	357050	Services
357050	357410	sind
357410	357770	eine
357770	358090	[*]
358090	358390	eigene
358390	360050	Produktkategorie
360050	360710	e.
360710	360890	v.
361310	361570	mit
361570	361890	[*]
361890	362170	einem
362170	362510	[*]
362510	363330	immateriell
363330	364590	Leistungsergebnis.
364590	365390	E.V.
365770	366030	ein
366030	367830	Beratungsgespräch.
368920	369710	Oder
372170	372630	Services
372630	373250	[*]
373250	373530	sind
373530	374450	[*]
374820	375560	allenfalls
375560	375860	ein
375860	376820	Anhängsel
376820	377140	[*]
377140	377280	für
377280	377980	Produkte,
378140	378400	im
378400	378640	Sinne
378640	378880	von
378880	380220	Value-Added-Services.
380240	380720	Aber
380720	382060	keinesfalls
382060	382460	[*]
382460	383220	einusted
383220	383240	Services.
383240	383980	[*]
383980	384140	im
384140	384920	Vordergrund
384920	385040	zu
385040	385400	sehen.
385500	386070	[*]
387700	387920	Ein
387920	388140	aus
388140	388360	der
388360	389860	Service-Dominant-Logic
389860	390600	richtiges
390600	391080	Denken
391080	391360	über
391360	391740	Service
391740	392120	wäre
392120	392380	das
392380	392920	folgende.
393040	393620	[*]
393620	394020	Service
394020	394440	ist
394440	394800	ein
394800	395540	Prozess.
395760	396320	[*]
396780	397310	Es
397310	397730	werden
397730	398710	Ressourcen
398710	399390	eines
399390	400250	Akteurs
400250	400490	zum
400490	401050	Nutzen
401050	401350	eines
401350	401770	anderen
401770	402630	Akteurs
402630	403510	integriert.
403650	404340	[*]
407420	407760	Service
407760	408690	[*]
409610	409770	oder
409770	410330	andersrum
410330	410810	gesprochen,
411070	411570	ein
411570	411950	Produkt
411950	412310	[*]
412310	412410	ist
412410	412570	ein
412570	413590	Vehikel
413590	414190	für
414190	414710	Service.
415370	416070	[*]
416070	416250	Die
416250	416850	Philosophie
416850	417050	wird
417050	417830	umgedreht
417830	418270	[*]
418270	418530	und
418530	418790	am
418790	419050	[*]
419050	419210	Ende
419210	419670	ist
419670	420130	auch
420130	420350	der
420350	420930	Kunde
420930	421490	[*]
421490	421830	als
421830	423070	Leistungsnehmer
423070	423810	ein
423810	424510	[*]
424510	425850	Service-Provider.
426050	426710	[*]
428180	428380	Vielen
428380	428640	Dank
428640	428780	für
428780	428900	die
428900	429720	Aufmerksamkeit.
